495,233,1236,233,1236,311,495,311
686,340,1008,340,1008,418,686,418
247,493,1229,493,1229,543,247,543
252,579,906,579,906,624,252,624
254,643,647,643,647,702,254,702
995,636,1347,636,1347,704,995,704
258,729,1454,729,1454,777,258,777
258,808,1458,808,1458,856,258,856
258,879,1015,879,1015,933,258,933
254,954,745,954,745,1011,254,1011
258,1027,1124,1027,1124,1090,258,1090
252,1111,1456,1111,1456,1170,252,1170
247,1190,1461,1190,1461,1236,247,1236
247,1268,1004,1268,1004,1315,247,1315
254,1349,638,1349,638,1397,254,1397
258,1420,1467,1420,1467,1474,258,1474
258,1499,1431,1499,1431,1549,258,1549
247,1572,1456,1572,1456,1631,247,1631
242,1658,1447,1658,1447,1711,242,1711
242,1736,1452,1736,1452,1783,242,1783
252,1813,1442,1813,1442,1861,252,1861
247,1890,1031,1890,1031,1940,247,1940
256,1963,1452,1963,1452,2022,256,2022
